epoch,learning_rate,train_total,train_return,train_direction,train_mdd,train_volatility,train_balance,train_aux,train_gate_balance,train_gate_entropy,train_normalized_gate_entropy,train_gate_min,train_gate_max,validation_total
1,0.0034737820547757017,0.5359257672514234,0.2825617483683995,0.6859600867543901,0.2188722129379,0.16675911567040852,0.009889793124914701,0.8063022766794478,0.009889793124914701,1.3563708407538277,0.9784147398812431,0.1263046403016363,0.4610118976661137,0.26866476734479267
2,0.0034737820547757017,0.4669033774307796,0.2405097335577011,0.6570026959691729,0.18152850951467242,0.12225186250039509,0.010940469628466027,0.7927816714559283,0.010940469628466027,1.3164911338261196,0.9496476122311184,0.06067722333329065,0.7612491590636117,0.29673396050930023
3,0.0034737820547757017,0.44283927849360877,0.22638490200042724,0.62449392250606,0.17365228022847856,0.11157929876020976,0.013239633877362524,0.7884267568588257,0.013239633877362524,1.2838494879858835,0.9261016419955662,0.05123487668378013,0.7839821372713361,0.3650323450565338
4,0.0034737820547757017,0.4116270755018507,0.2077899362359728,0.5763776642935616,0.16301416456699372,0.10416759997606277,0.016715023227568182,0.7831541555268424,0.016715023227568182,1.234565121786935,0.8905504856790815,0.030987709082130874,0.8437024235725403,0.3040592819452286
5,0.0034737820547757017,0.37008132423673357,0.18232721643788474,0.5214492091110774,0.14864307599408286,0.09446741747004646,0.01142183308755713,0.7677944438798087,0.01142183308755713,1.1766493695122855,0.8487731013979231,0.009846601814829877,0.9111951998301915,0.3641822189092636
6,0.0017368910273878508,0.33895861847060066,0.16362609565258027,0.4686866981642587,0.14256368109158107,0.08580476918390818,0.009570010724876609,0.7555974347250802,0.009570010724876609,1.1297099590301514,0.8149134755134583,0.0020731786124607815,0.9758497221129281,0.3204007148742676
7,0.0017368910273878508,0.3066278908933912,0.14561902965818133,0.4195902041026524,0.13024764891181673,0.07700604306800025,0.009574491663702897,0.7378189972468785,0.009574491663702897,1.0880488702229092,0.784861353465489,0.0015086621445204531,0.9783687949180603,0.5322883625825247
8,0.0017368910273878508,0.2935268589428493,0.1388085771884237,0.3935064903327397,0.12578926852771213,0.07445961864931243,0.011703101838273661,0.7308014835630144,0.011703101838273661,1.0366423521723067,0.7477793880871364,0.00046164633781050463,0.9904145956039428,0.7947789629300436
9,0.0017368910273878508,0.27880401526178633,0.13043335442032133,0.3663410271917071,0.12238952666521072,0.07116472848824092,0.009742771637892084,0.7231073345456804,0.009742771637892084,1.0191954459462846,0.7351941057613918,0.0001765186301781796,0.9934913277626037,0.6738921801249186
10,0.0008684455136939254,0.26088053967271535,0.12024208179541997,0.34433732032775877,0.11552563501255853,0.06456488711493356,0.010625958163291215,0.7085677777017866,0.010625958163291215,1.0043769070080348,0.724504794393267,0.00016111922029397516,0.9946266531944274,0.6950010061264038
11,0.0008684455136939254,0.2525186104433877,0.11597241482564381,0.32944227797644476,0.11287628774132047,0.06171019205025264,0.012877855276955025,0.700471065725599,0.012877855276955025,0.9893778817994254,0.7136852843420846,0.00016450186314094547,0.9939035756247384,0.6662675142288208
